business_status,delivery,dine_in,sub_city,city,province,phone_number,lat,lng,name,place_id,price_level,rating,url,user_rating
OPERATIONAL,TRUE,TRUE,Kecamatan Bojongloa Kaler,Kota Bandung,Jawa Barat,0819-0110-0441,-6.9256244,107.58927,Mixue Pasir Koja,ChIJs5V5H4TnaC4RdrEggq908CY,0,4.5,https://maps.google.com/?cid=2805870865003098486,191
OPERATIONAL,TRUE,TRUE,Kecamatan Babakan Ciparay,Kota Bandung,Jawa Barat,0852-8221-6036,-6.9439607,107.57852,MIXUE Caringin,ChIJS6aZ0O3paC4RsfZ_JHB-Bsc,0,4.7,https://maps.google.com/?cid=14341289083521726129,111
OPERATIONAL,TRUE,TRUE,Kecamatan Tembalang,Kota Semarang,Jawa Tengah,0895-1378-7165,-7.0512576,110.42502,Mixue Tembalang,ChIJS6E4GwaLcC4RLi9A6e6-fQk,0,4.7,https://maps.google.com/?cid=683912651754975022,420
OPERATIONAL,FALSE,TRUE,Kecamatan Pedurungan,Kota Semarang,Jawa Tengah,0811-2896-479,-7.01057,110.46962,Mixue Majapahit Semarang,ChIJs6jCI26NcC4RrqjgUPyIFRs,0,4.1,https://maps.google.com/?cid=1951616630805014702,159
OPERATIONAL,TRUE,TRUE,Kecamatan Ilir Timur II,Kota Palembang,Sumatera Selatan,0,-2.9706419,104.76103,MIXUE Mayor Ruslan,ChIJS7yC85h3Oy4RRJ-lwz2QIGE,0,4.6,https://maps.google.com/?cid=6998752415883566916,123
OPERATIONAL,FALSE,FALSE,Kecamatan Tulungagung,Kabupaten Tulungagung,Jawa Timur,0899-9992-888,-8.056064,111.906235,Mixue Hasanudin Tulungagung,ChIJS7zWbZDjeC4Rcirnt6jmjYI,0,0,https://maps.google.com/?cid=9407428808961108594,0
OPERATIONAL,TRUE,TRUE,Kecamatan Palu Selatan,Kota Palu,Sulawesi Tengah,0812-5110-5588,-0.9191422,119.88755,Mixue Palu,ChIJs97gQg3xiy0Rpe8JZhbQfcw,0,4.2,https://maps.google.com/?cid=14735162350445916069,166
OPERATIONAL,TRUE,TRUE,Kecamatan Kebayoran Baru,Jakarta,Daerah Khusus Ibukota Jakarta,0812-5229-4434,-6.2413793,106.789314,Mixue Kyai Maja,ChIJs9sVIs7xaS4R3NWv2w48jVc,0,4.9,https://maps.google.com/?cid=6308764687528875484,122
OPERATIONAL,TRUE,TRUE,Kecamatan Sawahan,Kota Surabaya,Jawa Timur,0823-3568-8833,-7.256069,112.7335,Mixue Kranggan,ChIJscg-WK_51y0Rsv_tnHObSa0,0,5,https://maps.google.com/?cid=12486682362717798322,38
OPERATIONAL,FALSE,TRUE,Kecamatan Dukuhpakis,Kota Surabaya,Jawa Timur,0,-7.283272,112.68756,Mixue Ice Cream and Tea,ChIJSetwk4b91y0R5NZPHmZI6q8,0,4,https://maps.google.com/?cid=12676023704620095204,38
OPERATIONAL,TRUE,TRUE,Kecamatan Cipondoh,Kota Tangerang,Banten,0812-1010-0585,-6.1860323,106.70304,Mixue Greenlake,ChIJSfWgwt35aS4RjCEQkav7_jE,0,4.7,https://maps.google.com/?cid=3602593466234708364,232
OPERATIONAL,FALSE,TRUE,Kecamatan Banguntapan,Kabupaten Bantul,Daerah Istimewa Yogyakarta,0813-2253-5888,-7.837747,110.39168,Mixue Imogiri,ChIJSQRW8CBXei4Rm7WX9KYXabk,0,0,https://maps.google.com/?cid=13360235775406880155,0
OPERATIONAL,FALSE,FALSE,Kecamatan Klojen,Kota Malang,Jawa Timur,0821-6173-6933,-7.9772496,112.622406,MIXUE MOG,ChIJsSg7-pop1i0RiVZLKPbyPMQ,0,4.1,https://maps.google.com/?cid=14140444069088417417,15
OPERATIONAL,TRUE,TRUE,Kecamatan Cakung,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,0857-7504-0025,-6.1797705,106.95263,Mixue JGC Cakung,ChIJsTMRvnCLaS4RnevBeV9G5u0,0,4.6,https://maps.google.com/?cid=17142466407510961053,166
OPERATIONAL,FALSE,FALSE,Kecamatan Kemayoran,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,0,-6.169692,106.842636,Mixue Kemayoran,ChIJSUNXkF71aS4Rv04a4leKlwY,0,5,https://maps.google.com/?cid=475000395771039423,2
OPERATIONAL,TRUE,TRUE,Kecamatan Cibinong,Kabupaten Bogor,Jawa Barat,0812-1377-1215,-6.511462,106.82249,MIXUE Bogor asri,ChIJsUT-u_HBaS4RGZfDsKwTB6Q,0,3,https://maps.google.com/?cid=11819437379478066969,2
OPERATIONAL,FALSE,FALSE,Kecamatan Cikalongkulon,Kabupaten Cianjur,Jawa Barat,0878-8888-7100,-6.7138295,107.219124,Mixue Cikalong Kulon,ChIJsUuU_eupaS4RneMzffEYQxc,0,5,https://maps.google.com/?cid=1676210911778694045,10
OPERATIONAL,FALSE,FALSE,Kecamatan Ajibarang,Kabupaten Banyumas,Jawa Tengah,0818-0954-4880,-7.408674,109.07929,MIXUE AJIBARANG,ChIJsUzayLNjZS4RGm6PBIiIjKc,0,5,https://maps.google.com/?cid=12073174818846895642,3
OPERATIONAL,TRUE,TRUE,Kecamatan Bandung Kulon,Kota Bandung,Jawa Barat,0813-9419-9867,-6.929582,107.5574,Mixue Gempolsari,ChIJsVhLf2TlaC4RJBqZ8u9P_vs,0,4.5,https://maps.google.com/?cid=18158038639590316580,99
